duid,fy_start,fy_label,curtailment_pct,metric_version,generation_mwh,months_covered
ADPPV1,2020,FY20-21,0.0,2.0-proxy,106.0,2
ADPPV1,2021,FY21-22,0.075,2.0-proxy,1762.0,11
ADPPV1,2022,FY22-23,0.242,2.0-proxy,14423.0,12
ADPPV1,2023,FY23-24,0.3223,2.0-proxy,26346.0,12
ADPPV1,2024,FY24-25,0.2756,2.0-proxy,28436.0,12
ADPPV1,2025,FY25-26,0.3629,2.0-proxy,16250.0,11
ADPPV1,2026,FY26-27,0.1199,2.0-proxy,3735.0,2
ALDGASF1,2024,FY24-25,0.0154,2.0-proxy,30560.0,3
ALDGASF1,2025,FY25-26,0.1347,2.0-proxy,776605.0,12
ALDGASF1,2026,FY26-27,0.0489,2.0-proxy,139171.0,2
ARWF1,2020,FY20-21,0.0502,2.0-proxy,157426.0,4
ARWF1,2021,FY21-22,0.0598,2.0-proxy,546304.0,12
ARWF1,2022,FY22-23,0.1485,2.0-proxy,429481.0,12
ARWF1,2023,FY23-24,0.079,2.0-proxy,467286.0,12
ARWF1,2024,FY24-25,0.0488,2.0-proxy,464718.0,12
ARWF1,2025,FY25-26,0.072,2.0-proxy,477094.0,12
ARWF1,2026,FY26-27,0.0913,2.0-proxy,60745.0,2
AVLSF1,2022,FY22-23,0.1241,2.0-proxy,6201.0,4
AVLSF1,2023,FY23-24,0.0541,2.0-proxy,411377.0,12
AVLSF1,2024,FY24-25,0.1499,2.0-proxy,394464.0,12
AVLSF1,2025,FY25-26,0.2043,2.0-proxy,354416.0,12
AVLSF1,2026,FY26-27,0.0213,2.0-proxy,53171.0,2
BALDHWF1,2020,FY20-21,0.0014,2.0-proxy,106808.0,4
BALDHWF1,2021,FY21-22,0.0037,2.0-proxy,369888.0,12
BALDHWF1,2022,FY22-23,0.005,2.0-proxy,344862.0,12
BALDHWF1,2023,FY23-24,0.0079,2.0-proxy,320076.0,12
BALDHWF1,2024,FY24-25,0.0051,2.0-proxy,335439.0,12
BALDHWF1,2025,FY25-26,0.003,2.0-proxy,355033.0,12
BALDHWF1,2026,FY26-27,0.0006,2.0-proxy,65167.0,2
BANGOWF1,2020,FY20-21,0.0,2.0-proxy,930.0,4
BANGOWF1,2021,FY21-22,0.0491,2.0-proxy,113003.0,12
BANGOWF1,2022,FY22-23,0.0398,2.0-proxy,290050.0,12
BANGOWF1,2023,FY23-24,0.0424,2.0-proxy,331585.0,12
BANGOWF1,2024,FY24-25,0.0554,2.0-proxy,371908.0,12
BANGOWF1,2025,FY25-26,0.0665,2.0-proxy,421022.0,12
BANGOWF1,2026,FY26-27,0.0243,2.0-proxy,64624.0,2
BANGOWF2,2020,FY20-21,0.0,2.0-proxy,3.0,1
BANGOWF2,2021,FY21-22,0.0431,2.0-proxy,29609.0,12
BANGOWF2,2022,FY22-23,0.0593,2.0-proxy,185276.0,12
BANGOWF2,2023,FY23-24,0.1041,2.0-proxy,205932.0,12
BANGOWF2,2024,FY24-25,0.1371,2.0-proxy,207493.0,12
BANGOWF2,2025,FY25-26,0.1505,2.0-proxy,232306.0,12
BANGOWF2,2026,FY26-27,0.0141,2.0-proxy,40642.0,2
BANN1,2020,FY20-21,0.0703,2.0-proxy,47241.0,4
BANN1,2021,FY21-22,0.2363,2.0-proxy,141976.0,12
BANN1,2022,FY22-23,0.2236,2.0-proxy,149055.0,12
BANN1,2023,FY23-24,0.371,2.0-proxy,125464.0,12
BANN1,2024,FY24-25,0.272,2.0-proxy,137192.0,12
BANN1,2025,FY25-26,0.1812,2.0-proxy,158903.0,12
BANN1,2026,FY26-27,0.1048,2.0-proxy,17168.0,2
BERYLSF1,2020,FY20-21,0.0206,2.0-proxy,50917.0,4
BERYLSF1,2021,FY21-22,0.0598,2.0-proxy,169018.0,12
BERYLSF1,2022,FY22-23,0.0389,2.0-proxy,181336.0,12
BERYLSF1,2023,FY23-24,0.0553,2.0-proxy,192456.0,12
BERYLSF1,2024,FY24-25,0.1357,2.0-proxy,162169.0,12
BERYLSF1,2025,FY25-26,0.0837,2.0-proxy,149191.0,12
BERYLSF1,2026,FY26-27,0.0095,2.0-proxy,23470.0,2
BLUEGSF1,2022,FY22-23,0.0379,2.0-proxy,270815.0,11
BLUEGSF1,2023,FY23-24,0.0566,2.0-proxy,368068.0,12
BLUEGSF1,2024,FY24-25,0.0234,2.0-proxy,386984.0,12
BLUEGSF1,2025,FY25-26,0.0128,2.0-proxy,272321.0,12
BLUEGSF1,2026,FY26-27,0.0025,2.0-proxy,39206.0,2
BLUFF1,2020,FY20-21,0.0393,2.0-proxy,40238.0,4
